,knowledge,bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
317,5,33,1,0,1,0,0,0,0,0,4,4,5,14
318,5,30,1,0,1,0,0,0,0,0,1,6,1,17
319,2,33,2,0,1,0,0,0,0,0,1,5,1,4
320,4,28,2,1,0,0,0,0,0,0,2,3,1,2
321,6,25,1,0,0,0,0,1,0,0,3,6,2,22
322,6,30,1,0,0,0,0,0,0,1,3,5,2,8
323,6,27,2,0,0,0,0,1,0,0,3,5,1,13
324,6,28,1,0,1,0,0,0,0,0,2,4,2,27
325,5,33,1,0,0,0,1,0,0,0,2,6,1,8
326,5,28,1,0,0,0,0,1,0,0,4,6,1,27
327,5,30,1,0,0,1,0,0,0,0,2,4,2,22
328,4,37,1,0,0,1,0,0,0,0,5,5,1,27
329,4,26,1,0,0,0,0,1,0,0,3,6,1,8
330,4,24,1,0,0,0,1,0,0,0,3,6,2,8
331,3,31,2,0,0,0,0,1,0,0,2,5,2,7
332,6,34,1,0,0,1,0,0,0,0,2,4,2,27
333,6,30,3,0,0,0,0,1,0,0,5,6,2,8
334,4,38,2,0,0,1,0,0,0,0,3,3,2,27
335,6,31,1,0,0,1,0,0,0,0,2,5,1,12
336,4,28,4,0,0,0,1,0,0,0,1,5,2,11
337,4,35,2,0,0,0,0,0,0,1,4,6,1,27
338,5,27,1,0,0,1,0,0,0,0,3,6,1,8
339,2,31,3,0,1,0,0,0,0,0,2,5,1,7
340,2,36,1,0,0,0,0,1,0,0,1,6,2,6
341,5,33,2,0,0,0,1,0,0,0,3,5,1,7
342,5,30,1,0,0,0,1,0,0,0,4,5,5,7
343,5,26,4,0,0,0,0,1,0,0,5,6,2,8
344,6,35,1,0,0,0,1,0,0,0,3,6,1,13
345,4,32,1,0,0,0,1,0,0,0,2,6,2,27
346,6,22,1,0,0,0,0,1,0,0,1,6,2,6
347,6,36,1,0,0,0,0,1,0,0,1,3,2,6
348,5,31,1,0,0,1,0,0,0,0,2,4,2,5
349,3,41,2,0,0,1,0,0,0,0,1,5,1,13
